,name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
10,Chicken Tortilla Soup,"2 whole boneless, skinless chicken breasts
1 tablespoon olive oil
1-1/2 teaspoon cumin
1 teaspoon chili powder
1/2 teaspoon garlic powder
1/2 teaspoon salt
1 tablespoon olive oil
1 cup diced onion
1/4 cup diced green bell pepper
1/4 cup red bell pepper
3 cloves garlic, minced
1 can (10 oz. can) rotel tomatoes and green chilies
32 ounces, fluid low sodium chicken stock
3 tablespoons tomato paste
4 cups hot water
2 cans (15 oz. can) black beans, drained
3 tablespoons cornmeal or masa
5 whole corn tortillas, cut into uniform strips around 2 to 3 inches
 _____
 for the garnishes:
 sour cream
 diced avocado
 diced red onion
 salsa or pico de gallo
 grated monterey jack cheese
 cilantro",http://thepioneerwoman.com/cooking/2011/01/chicken-tortilla-soup/,http://static.thepioneerwoman.com/cooking/files/2011/01/5337400468_d5892f3a03_o.jpg,PT1H30M,8,2011-01-10,PT10M,"I love, love, love, love Chicken Tortilla Soup. So over the weekend, I made some.     The end.     Wasn't that a beautiful st...",Hard
11,My Brother’s Chicken Tacos,"16 whole corn tortillas (small size)
4 whole boneless, skinless chicken breasts, cut into pieces
 salt, cumin, chili powder to taste (or use taco seasoning)
2 tablespoons canola oil
2 cans (4 ounce) diced green chilies
1-1/2 cup finely grated cheese (cheddar or cheddar/jack mix)
 sour cream
 hot sauce (chulula or other brand)
2 cups thinly sliced romaine lettuce (or any lettuce)
4 whole roma tomatoes, diced
 canola oil, for frying tacos",http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/,http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg,PT30M,8,2011-03-31,PT10M,"Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...",Medium
12,Simple Sesame Noodles,"12 ounces, fluid thin noodles, cooked and drained
1/4 cup soy sauce
2 tablespoons sugar
4 cloves garlic, minced
2 tablespoons rice vinegar
3 tablespoons pure sesame oil
1/2 teaspoon hot chili oil
4 tablespoons canola oil
4 whole green onions, sliced thin",http://thepioneerwoman.com/cooking/2010/08/simple-sesame-noodles/,http://static.thepioneerwoman.com/cooking/files/2010/08/3949394720_c854047191_o1.jpg,PT10M,8,2010-08-13,PT10M,  I'll be spending the weekend cooking some new recipes and making such a mess of my kitchen I'll want to cry and burn down t...,Easy
13,Corn Chowder with Chilies,"2 slices bacon, cut into 1/2-inch pieces (or smaller)
2 tablespoons butter
1-1/2 whole yellow onion, diced
5 ears corn, shucked (about 4 cups)
2 whole chipotle peppers in adobo sauce, finely diced
1 whole 4-ounce can diced green chilies
32 ounces, fluid low sodium chicken broth
1-1/2 cup heavy whipping cream
1/2 teaspoon kosher salt (more to taste)
3 tablespoons corn meal or masa
1/4 cup water",http://thepioneerwoman.com/cooking/2010/10/corn-chowder-with-chilies/,http://static.thepioneerwoman.com/cooking/files/2010/10/chowder.jpg,PT20M,8,2010-10-08,PT10M,"This is to die for.     It's just a regular corn chowder made with fresh corn shaved off the cob, which is yummy enough as it...",Medium
14,Creamy Cheese Grits with Chilies,"4-1/2 cups water
1/2 teaspoon salt
1 cup grits (quick or regular)
1/2 can (10 ounce can) rotel (tomatoes and chilies)
1 can (4 ounce can) chopped green chilies
8 ounces, weight monterey jack cheese, grated
4 ounces, weight cream cheese, cut into cubes
1/4 teaspoon cayenne pepper
1/4 teaspoon paprika
 black pepper to taste
1 whole egg beaten",http://thepioneerwoman.com/cooking/2010/10/creamy-cheese-grits-with-chilies/,http://static.thepioneerwoman.com/cooking/files/2010/10/5079611293_ff628b6e0c_z.jpg,PT45M,8,2010-10-14,PT5M,"I have a good, basic recipe for cheese grits in my cookbook, but last night I was feeling feisty.     I was cooking steaks. B...",Medium
15,Big Steak Salad,"2 whole rib-eye or strip steaks, extra fat trimmed
 _____
 for the dressing/marinade:
3/4 cups canola oil
3 tablespoons red wine vinegar
1 tablespoon balsamic vinegar
1 tablespoon worcestershire sauce
2 tablespoons soy sauce
1 teaspoon (additional) soy sauce
2 tablespoons lime juice
2 tablespoons sugar
3 cloves garlic, peeled
1 tablespoon minced fresh ginger
1/2 teaspoon hot chili oil
1 teaspoon kosher salt
 lots of freshly ground black pepper
 _____
 for the onion strings:
2 whole onions, sliced as thin as possible
2 cups buttermilk
2 cups flour
1 tablespoon salt
1/2 teaspoon cayenne pepper
1 quart canola oil
 black pepper to taste
 _____
 for the candied pecan bits:
1/2 cup pecans, chopped
1 cup sugar
2 tablespoons water
 _____
 for the salad:
 lettuce mix: romaine, arugula, watercress, raddiccio, etc.
 small grape tomatoes
3/4 cups crumbled blue cheese",http://thepioneerwoman.com/cooking/2010/10/big-steak-salad/,http://static.thepioneerwoman.com/cooking/files/2010/10/5095710774_9a8833d919_z.jpg,PT20M,4,2010-10-20,PT1M,There are few things I love more than a big green salad with sliced grilled steak on top. Whenever Marlboro Man and I land at...,Easy
16,Butternut Squash &amp; Kale Quesadillas,"1/2 whole butternut squash, peeled, seeded, and diced.
2 tablespoons butter
1 tablespoon olive oil
1/2 teaspoon kosher salt
 black pepper to taste
1/4 teaspoon chili powder (more to taste)
1 bunch kale, leaves torn, stalks discarded
8 whole small (fajita sized) flour tortillas
 extra butter for frying
2-1/2 cups monterey jack cheese, grated (more if needed)
 sour cream for serving
 cilantro, for serving
 pico de gallo, salsa, avocado slices (optional) for serving",http://thepioneerwoman.com/cooking/2013/01/butternut-squash-kale-quesadillas/,http://static.thepioneerwoman.com/cooking/files/2013/01/squashkale.jpg,PT20M,4,2013-01-07,PT15M,I am a passionate lover of butternut squash. I've written before about how a spoonful of butternut squash puree (spiked with ...,Medium
17,Restaurant Style Salsa,"1 can (28 ounce) whole tomatoes with juice
2 cans (10 ounce) rotel (diced tomatoes and green chilies)
1/4 cup chopped onion
1 clove garlic, minced
1 whole jalapeno, quartered and sliced thin
1/4 teaspoon sugar
1/4 teaspoon salt
1/4 teaspoon ground cumin
1/2 cup cilantro (more to taste!)
1/2 whole lime juice",http://thepioneerwoman.com/cooking/2010/01/restaurant-style-salsa/,http://static.thepioneerwoman.com/cooking/files/2010/07/4307514771_c089bbd7101.jpg,PT,12,2010-01-27,PT10M,"Okay. Here's the situation:     I am completely high maintenance when it comes to salsa.     Now, I'm not talking about Pico ...",Easy
18,Passover Brisket,"1 whole beef brisket, trimmed of all fat (5 to 8 pounds)
1 bottle (24 ounce) ketchup or chili sauce (make sure it's kosher)
1 package onion soup mix (make sure it's kosher)",http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/,http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg,PT7H,8,2010-03-30,PT10M,"Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...",Hard
19,Sloppy Joes,"2 tablespoons butter
2-1/2 pounds ground beef
1/2 whole large onion, diced
1 whole large green bell pepper, diced
5 cloves garlic, minced
1-1/2 cup ketchup
1 cup water
2 tablespoons brown sugar
2 teaspoons chili powder (more to taste)
1 teaspoon dry mustard
1/2 teaspoon red pepper flakes (more to taste)
 worcestershire sauce, to taste
2 tablespoons tomato paste (optional)
 tabasco sauce (optional; to taste)
 salt to taste
 freshly ground black pepper, to taste
 kaiser rolls
 butter",http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/,http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg,PT20M,8,2010-04-12,PT10M,"I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...",Medium
20,Butternut Squash Risotto,"1/2 whole butternut squash, peeled, seeded, and diced.
3 tablespoons butter
1 tablespoon olive oil
1/2 teaspoon kosher salt
 black pepper to taste
1/4 teaspoon chili powder
1/2 whole diced onion
1-1/2 cup arborio rice
6 cups (approximately) vegetable or chicken broth (low sodium)
 salt and pepper, to taste
1/8 teaspoon turmeric
1/4 cup heavy cream (less if desired)
1/2 cup parmesan shavings (more for serving)
 finely minced parsley, for serving",http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/,http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg,PT1H,8,2013-01-21,PT10M,"A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...",Hard
21,"Chicken Tikka Masala, by Pastor Ryan","3 whole (to 4) chicken breasts
 kosher salt
 ground coriander
 cumin, to taste
1/2 cup plain yogurt
6 tablespoons butter
1 whole large onion
4 cloves garlic
1 piece (approximately 2 inches) chunk fresh ginger
 garam masala
1 can (28 ounce) diced tomatoes
 sugar
1-1/2 cup heavy cream
2 cups basmati rice
 _____
 optional:
 fresh cilantro
 chili peppers
 turmeric
 frozen peas",http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/,http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg,PT1H,6,2009-06-04,PT30M,"Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...",Hard
22,Fresh Corn and Avocado Salsa,"4 ears sweet corn
2 whole very firm avocados, diced
 1/2 red onion, diced
 1/2 jalapeno, seeded and finely diced
 1/2 hot chili pepper, seeded and finely diced
1 whole juice of lime
 plenty of chopped cilantro
 salt to taste
1 tablespoon vinegar
1 teaspoon sugar (optional)",http://thepioneerwoman.com/cooking/2009/08/fresh-corn-avocado-salsa/,http://static.thepioneerwoman.com/cooking/files/2009/08/ree_66701.jpg,PT,10,2009-08-13,PT25M,"I dropped by the Lodge yesterday afternoon and discovered, to both my horror and excitement, that our friend Dave from Indian...",Easy
23,White Chicken Enchiladas,"2-1/2 cups cooked, shredded chicken
2 cups reserved broth from chicken
3 tablespoons canola oil
12 whole corn tortillas
1 whole large onion, diced
3 whole 4 oz cans whole green chilies, diced
1 whole jalapeno, seeded and finely diced
1 teaspoon paprika
1/2 cup heavy cream
2 tablespoons butter
2 tablespoons flour
1 cup sour cream
2-1/2 cups monterey jack cheese, grated
 salt and pepper, to taste
 picante sauce (optional)
 cilantro, chopped",http://thepioneerwoman.com/cooking/2009/11/white-chicken-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2010/07/4060528829_67db52b435.jpg,PT30M,6,2009-11-09,PT45M,"I'm happy to share my method for making creamy, dreamy, delicious, nutritious, yummy, nummy white chicken enchiladas.    They...",Hard
24,Good Ol’ Basic Mexican Rice,"2 tablespoons canola oil
1/2 whole large onion, chopped
2 cups long grain rice
3 cloves garlic, minced
1 can rotel diced green chilies and tomatoes (10 ounce can)
1 can whole tomatoes (14.5 ounce can)
2 cups low sodium chicken broth (more if needed)
1 teaspoon cumin (more to taste)
1 teaspoon kosher salt
 fresh cilantro, chopped",http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/,http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg,PT15M,6,2009-11-11,PT10M,I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...,Easy
25,Lazy Chiles Rellenos,"8 whole roasted, peeled, and seeded green chiles
1-1/2 cup monterey jack cheese, grated
5 whole large eggs
2 cups whole milk
 salt and black pepper to taste
1/2 teaspoon paprika
1/4 teaspoon cayenne pepper",http://thepioneerwoman.com/cooking/2009/11/lazy-chiles-rellenos/,http://static.thepioneerwoman.com/cooking/files/2010/07/4098250665_65310ab692.jpg,PT45M,9,2009-11-12,PT5M,This dish ain't fancy.     This dish ain't difficult to make. (Huh. Understatement of the modern era.)    This dish...ain't n...,Medium
26,White Chili,"1 whole fryer chicken, cut up (or 3 cups cooked chicken)
1 whole medium onion, diced
4 cloves garlic, minced
2 whole cans green chilies, chopped
1 pound dried great northern beans, rinsed
8 cups chicken broth
1 whole jalapeno, sliced
1-1/2 tablespoon ground cumin
1/2 teaspoon paprika
1/2 teaspoon cayenne pepper
 salt to taste
 white pepper, to taste
1 cup whole milk
2 tablespoons masa (corn flour) or cornmeal
 grated monterey jack, to taste
 sour cream for garnish
 cilantro for garnish
 guacamole (optional)
 pico de gallo (optional)
 corn tortillas, warmed",http://thepioneerwoman.com/cooking/2010/01/simple-hearty-white-chili/,http://static.thepioneerwoman.com/cooking/files/2010/07/4243109382_1a797f44d2.jpg,PT2H,8,2010-01-04,PT25M,"I love white chili. And just like regular chili, there are as many incarnations as there are grains of sand in all the beache...",Hard
27,Enchiladas," for the sauce:
1 tablespoon canola oil
1 tablespoon all-purpose flour
1 can (28 ounce) enchilada or red sauce
2 cups chicken broth
1/2 teaspoon salt
1/2 teaspoon ground black pepper
2 tablespoons chopped cilantro
 _____
 for the meat:
1-1/2 pound ground beef
1 whole medium onion, finely diced
2 cans (4 ounce) diced green chilies
1/2 teaspoon salt
 _____
 for the tortillas:
10 whole (to 14) corn tortillas
1/2 cup canola oil
 _____
 to assemble:
3 cups grated sharp cheddar cheese
1/2 cup chopped black olives
1 cup chopped green onions
1/2 cup chopped cilantro",http://thepioneerwoman.com/cooking/2008/09/simple-perfect-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2008/09/Enchiladas.jpg,PT20M,6,2008-09-15,PT1H30M,"Okay, people. Let's get down to business here. Let's make enchiladas!     Did you know that in addition to having an imaginar...",Hard
28,Mexican Layer Dip,"1 can refried beans
 tabasco sauce, to taste
1 can diced green chilies
 ground cumin, to taste
3/4 cups grated sharp cheddar cheese
1 cup sour cream
1 cup guacamole
3/4 cups monterey jack cheese
1 can black olives
1 cup pico de gallo",http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/,http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_rec_chil959a301.jpg,PT,8,2009-01-30,PT15M,"    It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...",Easy
29,Leftover Brisket Tostadas," beef brisket leftovers
1 package small corn tortillas
1 can (about 16 oz.) refried beans
1 can (about 8 oz.) hot tomato sauce or chili sauce (optional)
 pico de gallo
 shredded cheese
 lettuce
 sour cream
1 whole avocado
 vegetable oil",http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/,http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg,PT5M,6,2008-01-15,PT15M,"    There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...",Easy
30,Cooking With Pastor Ryan: Delicious Mexican Lasagna,"4 cups unprepared rice
6 cups (to 8 cups) low sodium chicken broth/stock
4 whole (to 8) tomatoes (up to you)
2 whole (to 3) onions (up to you)
8 cloves (to 14 cloves) of garlic (up to you)
 butter
 taco seasoning (or chili powder, paprika, and cumin) to taste
1 can (to 2 cans) black or pinto beans (up to you)
3 pounds lean ground beef
2 jars (16 ounce) salsa verde
 flour tortillas
3 packages (16 ounces) mexican cheese blend
1 jar (16 ounce) enchilada sauce
3 cans corn, drained
 sour cream, to taste
 cilantro, to taste",http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/,http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg,PT35M,8,2008-08-14,PT45M,"Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...",Hard
31,Spicy Shredded Pork,"4 pounds (up to 7 pounds) pork shoulder
1 teaspoon dried oregano
1 teaspoon ground cumin
1 teaspoon chili powder
1 tablespoon (to 2 tablespoons) salt
 pepper to taste
3 cloves (to 4 cloves) garlic
1 tablespoon (to 2 tablespoons) olive oil
2 tablespoons (to 3 tablespoons) white wine vinegar
1/4 cup brown sugar
1 whole onion
 lime wedges",http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/,http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg,PT4H,8,2008-08-06,PT20M,"   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...",Hard
32,Salad Tacos,"16 whole taco shells
2 pounds ground beef
3 tablespoons taco seasoning
1 can (4 ounce) tomato paste
 salt to taste
1 can (14.5 ounce) beans (kidney, pinto, chili), undrained
1/2 cup hot water
1 head green leaf lettuce, sliced very thin
1 cup grape tomatoes, halved (or diced regular tomatoes)
1 cup grated cheese (cheddar, jack, or cheddar/jack)
 for the dressing:
1/4 cup mayonnaise
1/4 cup sour cream
1/4 cup salsa
1 tablespoon ranch dressing mix (optional)
 extra hot sauce (optional)
 crushed tortilla chips (optional)",http://thepioneerwoman.com/cooking/2013/01/salad-tacos/,http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg,PT15M,8,2013-01-31,PT10M,"I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...",Easy
33,Thai Chicken Wraps,"2 whole boneless, skinless chicken breasts (breast halves)
 option 1 marinade/sauce
1 tablespoon rice wine vinegar
1/4 cup soy sauce
1 teaspoon pure sesame oil
1 teaspoon hot chili oil
 juice of 2 limes
1 tablespoon minced fresh ginger
2 tablespoons brown sugar (optional)
1 teaspoon cornstarch
2 tablespoons honey (or brown sugar)
 peanut or canola oil for frying
 peanut sauce
1/2 cup peanut butter (crunch/chunky is good!)
3 tablespoons soy sauce
3 tablespoons honey
1/2 teaspoon hot chili oil
1 teaspoon crushed red pepper
 juice of 2 limes
 water, as needed for thinning
 wraps
2 whole whole-wheat tortillas
 green leaf or other lettuce, leaves left whole or shredded
1 whole large carrot, cut into thin strips or julienne
1/2 whole cucumber, seeds scraped out, cut into strips
 cilantro leaves
 shelled peanuts
 optional additions:
 bean sprouts
 alfalfa sprouts
 baby spinach leaves
 thinly sliced red onion
 sliced green onion
 blanched asparagus
 salt and pepper, to taste
 sriracha",http://thepioneerwoman.com/cooking/2013/02/thai-chicken-wraps/,http://static.thepioneerwoman.com/cooking/files/2013/02/wraps.jpg,PT10M,2,2013-02-12,PT20M,"I made these yummy, crunchy, flavorful wraps after church last Sunday for the following reasons:    1. I was alone in the hou...",Medium
34,Beef Fajitas,"1 whole beef flank steak
1/2 cup olive oil
3 tablespoons worcestershire sauce
1/3 cup lime juice, fresh squeezed
3 cloves garlic, minced
1 tablespoon cumin
1 tablespoon chili powder
1/2 teaspoon red pepper flakes
1 teaspoon salt
1/2 teaspoon black pepper
1 tablespoon sugar
2 whole medium onions, halved and sliced
1 whole red bell pepper, sliced
1 whole orange bell pepper, sliced
1 whole green bell pepper, sliced
1 whole yellow bell pepper, sliced
 oil, for frying
 flour tortillas, warmed
 cheese (grated cheddar/jack or crumbled queso fresco)
 salsa
 sour cream
 cilantro leaves",http://thepioneerwoman.com/cooking/2013/03/beef-fajitas/,http://static.thepioneerwoman.com/cooking/files/2013/03/fajitas1.jpg,PT15M,8,2013-03-04,PT2H,"When I get a hankering for beef fajitas, I pretty much can think of nothing else until I eat them. I made them over the weeke...",Hard
35,Pioneer Woman’s Favorite Sandwich,"1 tablespoon dijon mustard, to taste
1 tablespoon mayonnaise, to taste
1 whole tomato
1 whole red onion, small
2 slices mild cheddar
1 can (4 oz.) whole green chilies
2 slices provolone
2 slices rye bread
 butter",http://thepioneerwoman.com/cooking/2007/10/pioneer_womans_favorite_sandwich/,http://static.thepioneerwoman.com/cooking/files/2010/07/1470622409_212bb118bd.jpg,PT5M,1,2007-10-02,PT10M,"    Mmmmm...this is it, folks: The Sandwich That Brings Me the Most Happiness in Life. Granted, it's no Marlboro Man's Favori...",Easy
36,Chocolate Calypso Beans (remix),"1 lb. jacob's cattle beans
2 t. olive oil
1 large onion, chopped
1 red bell pepper, chopped
5 cloves garlic, minced
2t. ground, dried red chilies (i used med-hot chimayo)
1 1/2 t ground cumin
2+ t.  ground cinnamon 
1 t. ground allspice
4 1/2 cups water or vegetable stock
1 12 oz. bottle negro modelo mexican beer
1 1/2 discs ibarra mexican chocolate",http://www.101cookbooks.com/archives/000116.html,http://www.101cookbooks.com/mt-static/images/food/ranchogordobeans.jpg,,,2004-09-06,,101 Cookbooks: Chocolate Calypso Beans Recipe,Unknown
37,Green Curry with Tofu,"ingredients for chili paste:
2 green hot chilies (thai chilies)
1 tablespoon chopped shallots
1 teaspoon chopped galangal 
1/2 teaspoon chopped kaffir lime rind
1 tablespoon chopped garlic
1 tablespoon chopped lemongrass
1 tablespoon chopped krachai
1/4 teaspoon roasted cumin seeds
1/4 teaspoon roasted coriander seeds
1/2 teaspoon salt
other ingredients:
1 cup sliced eggplants
1/4 cup smaller pea-like eggplants (makheau phuang)
1/3 cup sliced onion
70 grams sliced chicken (or firm tofu)
1 teaspoon sugar
1 tablespoon fish sauce (or soy sauce for vegetarians)
3 kaffir lime leaves
2 stems sweet basil (horapaa)
1 cup coconut milk
1 cup water
(again, chicken can be replaced tofu)",http://www.101cookbooks.com/archives/000130.html,http://www.101cookbooks.com/mt-static/images/food/.jpg,,,2004-12-01,,101 Cookbooks: Green Curry with Tofu Recipe,Unknown
